,precision,recall,f1-score,support
abstract_art,0.29411764705882354,0.2,0.2380952380952381,25.0
abstract_expressionism,0.5833333333333334,0.56,0.5714285714285714,25.0
amateur,0.8181818181818182,0.72,0.7659574468085107,25.0
art_nouveau,0.6470588235294118,0.44,0.5238095238095238,25.0
baroque,0.7333333333333333,0.9166666666666666,0.8148148148148148,24.0
chinese_landscape,0.56,1.0,0.717948717948718,14.0
constructivism,0.6956521739130435,0.64,0.6666666666666666,25.0
cubism,0.7647058823529411,0.52,0.6190476190476191,25.0
expressionism,0.5714285714285714,0.48,0.5217391304347826,25.0
fauvism,0.3181818181818182,0.28,0.29787234042553196,25.0
futurism,0.5384615384615384,0.56,0.5490196078431373,25.0
high_renaissance,0.7,0.56,0.6222222222222222,25.0
minimalism,0.6896551724137931,0.8,0.7407407407407408,25.0
op_art,0.6896551724137931,0.8,0.7407407407407408,25.0
pop_art,0.5666666666666667,0.68,0.6181818181818183,25.0
post_impressionism,0.46153846153846156,0.48,0.47058823529411764,25.0
realism,0.9444444444444444,0.7391304347826086,0.8292682926829269,23.0
renaissance,0.7407407407407407,0.8,0.7692307692307692,25.0
romanticism,0.7333333333333333,0.88,0.8,25.0
surrealism,0.5454545454545454,0.72,0.6206896551724138,25.0
symbolism,0.6,0.6,0.6,25.0
accuracy,0.6281800391389433,0.6281800391389433,0.6281800391389433,0.6281800391389433
macro avg,0.6283782607990671,0.6369427191166322,0.6237172453137555,511.0
weighted avg,0.6284077587031077,0.6281800391389433,0.6205103062467809,511.0
