,precision,recall,f1-score,support
abstract_art,0.5714285714285714,0.48,0.5217391304347826,25.0
abstract_expressionism,0.53125,0.68,0.5964912280701754,25.0
amateur,0.75,0.72,0.7346938775510204,25.0
art_nouveau,0.55,0.44,0.48888888888888893,25.0
baroque,0.6129032258064516,0.7916666666666666,0.6909090909090909,24.0
chinese_landscape,0.9333333333333333,1.0,0.9655172413793104,14.0
constructivism,0.6875,0.44,0.5365853658536586,25.0
cubism,0.5625,0.72,0.631578947368421,25.0
expressionism,0.5428571428571428,0.76,0.6333333333333332,25.0
fauvism,0.46153846153846156,0.48,0.47058823529411764,25.0
futurism,0.75,0.36,0.48648648648648657,25.0
high_renaissance,0.8235294117647058,0.56,0.6666666666666666,25.0
minimalism,0.6875,0.88,0.7719298245614036,25.0
op_art,0.7058823529411765,0.48,0.5714285714285713,25.0
pop_art,0.46875,0.6,0.5263157894736842,25.0
post_impressionism,0.7142857142857143,0.4,0.5128205128205129,25.0
realism,0.5625,0.782608695652174,0.6545454545454547,23.0
renaissance,0.9523809523809523,0.8,0.8695652173913043,25.0
romanticism,0.6388888888888888,0.92,0.7540983606557377,25.0
surrealism,0.6666666666666666,0.72,0.6923076923076923,25.0
symbolism,0.6842105263157895,0.52,0.5909090909090909,25.0
accuracy,0.6360078277886497,0.6360078277886497,0.6360078277886497,0.6360078277886497
macro avg,0.6599002499146598,0.6444893029675639,0.6365428098252097,511.0
weighted avg,0.654487399829204,0.6360078277886497,0.6292843160529602,511.0
