,precision,recall,f1-score,support
abstract_art,0.5833333333333334,0.28,0.3783783783783784,25.0
abstract_expressionism,0.5909090909090909,0.52,0.5531914893617023,25.0
amateur,0.7647058823529411,0.52,0.6190476190476191,25.0
art_nouveau,0.5,0.4,0.4444444444444445,25.0
baroque,0.7407407407407407,0.8333333333333334,0.7843137254901961,24.0
chinese_landscape,0.4375,1.0,0.6086956521739131,14.0
constructivism,0.5555555555555556,0.4,0.46511627906976744,25.0
cubism,0.7272727272727273,0.64,0.6808510638297872,25.0
expressionism,0.4642857142857143,0.52,0.49056603773584906,25.0
fauvism,0.46875,0.6,0.5263157894736842,25.0
futurism,0.9,0.36,0.5142857142857143,25.0
high_renaissance,0.7,0.56,0.6222222222222222,25.0
minimalism,0.6176470588235294,0.84,0.711864406779661,25.0
op_art,0.6333333333333333,0.76,0.6909090909090909,25.0
pop_art,0.43243243243243246,0.64,0.5161290322580645,25.0
post_impressionism,0.44,0.44,0.44,25.0
realism,0.5384615384615384,0.30434782608695654,0.3888888888888889,23.0
renaissance,0.72,0.72,0.72,25.0
romanticism,0.6129032258064516,0.76,0.6785714285714285,25.0
surrealism,0.53125,0.68,0.5964912280701754,25.0
symbolism,0.5833333333333334,0.56,0.5714285714285714,25.0
accuracy,0.5792563600782779,0.5792563600782779,0.5792563600782779,0.5792563600782779
macro avg,0.5972578079352725,0.5875086266390616,0.5715100505913886,511.0
weighted avg,0.6006461552805366,0.5792563600782779,0.5710078921395263,511.0
