,precision,recall,f1-score,support
abstract_art,0.5454545454545454,0.24,0.3333333333333333,25.0
abstract_expressionism,0.4166666666666667,0.2,0.2702702702702703,25.0
amateur,0.5909090909090909,0.52,0.5531914893617023,25.0
art_nouveau,0.2777777777777778,0.2,0.23255813953488372,25.0
baroque,0.7391304347826086,0.7083333333333334,0.723404255319149,24.0
chinese_landscape,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0
constructivism,0.5909090909090909,0.52,0.5531914893617023,25.0
cubism,0.6956521739130435,0.64,0.6666666666666666,25.0
expressionism,0.5555555555555556,0.2,0.29411764705882354,25.0
fauvism,0.36363636363636365,0.48,0.41379310344827586,25.0
futurism,0.6071428571428571,0.68,0.6415094339622641,25.0
high_renaissance,0.56,0.56,0.56,25.0
minimalism,0.5757575757575758,0.76,0.6551724137931034,25.0
op_art,0.5161290322580645,0.64,0.5714285714285714,25.0
pop_art,0.45454545454545453,0.6,0.5172413793103449,25.0
post_impressionism,0.4166666666666667,0.4,0.4081632653061225,25.0
realism,0.3333333333333333,0.4782608695652174,0.3928571428571428,23.0
renaissance,0.5555555555555556,0.8,0.6557377049180328,25.0
romanticism,0.6190476190476191,0.52,0.5652173913043478,25.0
surrealism,0.45,0.36,0.39999999999999997,25.0
symbolism,0.3783783783783784,0.56,0.4516129032258065,25.0
accuracy,0.5088062622309197,0.5088062622309197,0.5088062622309197,0.5088062622309197
macro avg,0.5157373079241856,0.5133752341516317,0.5002203757515774,511.0
weighted avg,0.5144534272474638,0.5088062622309197,0.49708376621329997,511.0
