,precision,recall,f1-score,support
abstract_art,0.39285714285714285,0.44,0.4150943396226415,25.0
abstract_expressionism,0.5151515151515151,0.68,0.5862068965517241,25.0
amateur,0.7,0.84,0.7636363636363636,25.0
art_nouveau,0.8,0.32,0.45714285714285713,25.0
baroque,0.5625,0.75,0.6428571428571429,24.0
chinese_landscape,0.7777777777777778,1.0,0.8750000000000001,14.0
constructivism,0.45714285714285713,0.64,0.5333333333333333,25.0
cubism,0.8095238095238095,0.68,0.7391304347826089,25.0
expressionism,0.6666666666666666,0.56,0.6086956521739131,25.0
fauvism,0.46153846153846156,0.48,0.47058823529411764,25.0
futurism,0.6666666666666666,0.32,0.43243243243243246,25.0
high_renaissance,0.875,0.56,0.6829268292682927,25.0
minimalism,0.6363636363636364,0.56,0.5957446808510639,25.0
op_art,0.6296296296296297,0.68,0.6538461538461539,25.0
pop_art,0.6111111111111112,0.44,0.5116279069767442,25.0
post_impressionism,0.6666666666666666,0.64,0.6530612244897959,25.0
realism,0.6785714285714286,0.8260869565217391,0.7450980392156864,23.0
renaissance,0.7142857142857143,0.8,0.7547169811320756,25.0
romanticism,0.72,0.72,0.72,25.0
surrealism,0.7,0.84,0.7636363636363636,25.0
symbolism,0.5185185185185185,0.56,0.5384615384615384,25.0
accuracy,0.6262230919765166,0.6262230919765166,0.6262230919765166,0.6262230919765166
macro avg,0.6457129334510286,0.6350517598343686,0.6258684478907071,511.0
weighted avg,0.6429042889414708,0.6262230919765166,0.6200056397677743,511.0
